Sample Name	Sample title	BioProject Accession	Organism	host	isolation source	collection date	geographic location	latitude and longitude	Sample type	Isolate
oro160401		PRJNA518082	not collected		feces metagenome	2016-04-29	USA: Maple Hill Hollis NH	not collected	sample	oro160401
oro160403		PRJNA518082	not collected		feces metagenome	2016-04-29	USA: Maple Hill Hollis NH	not collected	sample	oro160403
oro160404		PRJNA518082	not collected		feces metagenome	2016-04-29	USA: Maple Hill Hollis NH	not collected	sample	oro160404
oro160405		PRJNA518082	not collected		feces metagenome	2016-04-29	USA: Maple Hill Hollis NH	not collected	sample	oro160405
oro160406		PRJNA518082	not collected		feces metagenome	2016-04-29	USA: Maple Hill Hollis NH	not collected	sample	oro160406
oro160407		PRJNA518082	not collected		feces metagenome	2016-04-29	USA: Maple Hill Hollis NH	not collected	sample	oro160407
oro160408		PRJNA518082	not collected		feces metagenome	2016-05-09	USA: Brown Lane Hollis NH	not collected	sample	oro160408
oro160409		PRJNA518082	not collected		feces metagenome	2016-05-09	USA: Brown Lane Hollis NH	not collected	sample	oro160409
oro160410		PRJNA518082	not collected		feces metagenome	2016-05-09	USA: Brown Lane Hollis NH	not collected	sample	oro160410
oro160411		PRJNA518082	not collected		feces metagenome	2016-05-09	USA: Brown Lane Hollis NH	not collected	sample	oro160411
oro160412		PRJNA518082	not collected		feces metagenome	2016-05-09	USA: Brown Lane Hollis NH	not collected	sample	oro160412
oro160413		PRJNA518082	not collected		feces metagenome	2016-05-09	USA: Brown Lane Hollis NH	not collected	sample	oro160413
oro160414		PRJNA518082	not collected		feces metagenome	2016-05-09	USA: Brown Lane Hollis NH	not collected	sample	oro160414
oro160415		PRJNA518082	not collected		feces metagenome	2016-05-09	USA: Brown Lane Hollis NH	not collected	sample	oro160415
oro160416		PRJNA518082	not collected		feces metagenome	2016-05-09	USA: Brown Lane Hollis NH	not collected	sample	oro160416
oro160417		PRJNA518082	not collected		feces metagenome	2016-05-09	USA: Brown Lane Hollis NH	not collected	sample	oro160417
oro160418		PRJNA518082	not collected		feces metagenome	2016-05-09	USA: Brown Lane Hollis NH	not collected	sample	oro160418
oro160419		PRJNA518082	not collected		feces metagenome	2016-05-09	USA: Brown Lane Hollis NH	not collected	sample	oro160419
oro160420		PRJNA518082	not collected		feces metagenome	2016-05-15	USA: Brown Lane Hollis NH	not collected	sample	oro160420
oro160421		PRJNA518082	not collected		feces metagenome	2016-05-15	USA: Brown Lane Hollis NH	not collected	sample	oro160421
oro160422		PRJNA518082	not collected		feces metagenome	2016-05-15	USA: Brown Lane Hollis NH	not collected	sample	oro160422
oro160423		PRJNA518082	not collected		feces metagenome	2016-05-15	USA: Brown Lane Hollis NH	not collected	sample	oro160423
