Sample Name,Sample title,BioProject accession,Organism,host,isolation source,collection date,geographic location,latitude and longitude,library,sample type,isolate
oro161481,oro161481,PRJNA518082,not collected,not collected,feces metagenome,2016-06-11,USA: Canterbury NH,not applicable,libA,sample,oro161481
oro161484,oro161484,PRJNA518082,not collected,not collected,feces metagenome,2016-06-18,USA: Canterbury NH,not applicable,libA,sample,oro161484
oro161485,oro161485,PRJNA518082,not collected,not collected,feces metagenome,2016-06-18,USA: Canterbury NH,not applicable,libA,sample,oro161485
oro161486,oro161486,PRJNA518082,not collected,not collected,feces metagenome,2016-06-18,USA: Canterbury NH,not applicable,libA,sample,oro161486
oro161487,oro161487,PRJNA518082,not collected,not collected,feces metagenome,2016-06-18,USA: Canterbury NH,not applicable,libA,sample,oro161487
oro161488,oro161488,PRJNA518082,not collected,not collected,feces metagenome,2016-06-18,USA: Canterbury NH,not applicable,libA,sample,oro161488
oro161489,oro161489,PRJNA518082,not collected,not collected,feces metagenome,2016-06-18,USA: Canterbury NH,not applicable,libA,sample,oro161489
oro161490,oro161490,PRJNA518082,not collected,not collected,feces metagenome,2016-06-18,USA: Canterbury NH,not applicable,libA,sample,oro161490
oro161491,oro161491,PRJNA518082,not collected,not collected,feces metagenome,2016-06-18,USA: Canterbury NH,not applicable,libA,sample,oro161491
oro161492,oro161492,PRJNA518082,not collected,not collected,feces metagenome,2016-06-18,USA: Canterbury NH,not applicable,libA,sample,oro161492
oro161493,oro161493,PRJNA518082,not collected,not collected,feces metagenome,2016-06-18,USA: Canterbury NH,not applicable,libA,sample,oro161493
oro161494,oro161494,PRJNA518082,not collected,not collected,feces metagenome,2016-06-18,USA: Canterbury NH,not applicable,libA,sample,oro161494
oro161495,oro161495,PRJNA518082,not collected,not collected,feces metagenome,2016-06-18,USA: Canterbury NH,not applicable,libA,sample,oro161495
oro161496,oro161496,PRJNA518082,not collected,not collected,feces metagenome,2016-06-26,USA: Canterbury NH,not applicable,libA,sample,oro161496
oro161497,oro161497,PRJNA518082,not collected,not collected,feces metagenome,2016-06-26,USA: Canterbury NH,not applicable,libA,sample,oro161497
oro161498,oro161498,PRJNA518082,not collected,not collected,feces metagenome,2016-06-26,USA: Canterbury NH,not applicable,libA,sample,oro161498
oro161499,oro161499,PRJNA518082,not collected,not collected,feces metagenome,2016-06-26,USA: Canterbury NH,not applicable,libA,sample,oro161499
negoro14B02,negoro14B02,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro14B02
negoro14C03,negoro14C03,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro14C03
negoro14D04,negoro14D04,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro14D04
negoro14E05,negoro14E05,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro14E05
negoro14F06,negoro14F06,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro14F06
negoro14G07,negoro14G07,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro14G07
negoro14H08,negoro14H08,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libB,ncontrol,negoro14H08
oro161500,oro161500,PRJNA518082,not collected,not collected,feces metagenome,2016-06-26,USA: Canterbury NH,not applicable,libA,sample,oro161500
oro161501,oro161501,PRJNA518082,not collected,not collected,feces metagenome,2016-06-26,USA: Canterbury NH,not applicable,libA,sample,oro161501
oro161502,oro161502,PRJNA518082,not collected,not collected,feces metagenome,2016-06-26,USA: Canterbury NH,not applicable,libA,sample,oro161502
oro161503,oro161503,PRJNA518082,not collected,not collected,feces metagenome,2016-06-26,USA: Canterbury NH,not applicable,libA,sample,oro161503
oro161504,oro161504,PRJNA518082,not collected,not collected,feces metagenome,2016-06-26,USA: Canterbury NH,not applicable,libA,sample,oro161504
oro161506,oro161506,PRJNA518082,not collected,not collected,feces metagenome,2016-06-26,USA: Canterbury NH,not applicable,libA,sample,oro161506
