Sample Name	Sample title	BioProject Accession	Organism	host	isolation source	collection date	geographic location	latitude and longitude	Sample type	Isolate
oro164505		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Epsom NH	not collected	sample	oro164505
oro164506		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Epsom NH	not collected	sample	oro164506
oro164507		PRJNA518082	not collected		feces metagenome	2016-09-12	USA: Epsom NH	not collected	sample	oro164507
oro164508		PRJNA518082	not collected		feces metagenome	2016-09-22	USA: Epsom NH	not collected	sample	oro164508
oro164509		PRJNA518082	not collected		feces metagenome	2016-09-22	USA: Epsom NH	not collected	sample	oro164509
oro164510		PRJNA518082	not collected		feces metagenome	2016-09-22	USA: Epsom NH	not collected	sample	oro164510
oro164511		PRJNA518082	not collected		feces metagenome	2016-09-22	USA: Epsom NH	not collected	sample	oro164511
oro164512		PRJNA518082	not collected		feces metagenome	2016-09-22	USA: Epsom NH	not collected	sample	oro164512
oro164513		PRJNA518082	not collected		feces metagenome	2016-09-22	USA: Epsom NH	not collected	sample	oro164513
oro164514		PRJNA518082	not collected		feces metagenome	2016-09-22	USA: Epsom NH	not collected	sample	oro164514
oro164515		PRJNA518082	not collected		feces metagenome	2016-09-22	USA: Epsom NH	not collected	sample	oro164515
oro164516		PRJNA518082	not collected		feces metagenome	2016-09-22	USA: Epsom NH	not collected	sample	oro164516
oro164517		PRJNA518082	not collected		feces metagenome	2016-09-22	USA: Epsom NH	not collected	sample	oro164517
oro164518		PRJNA518082	not collected		feces metagenome	2016-09-22	USA: Epsom NH	not collected	sample	oro164518
oro164519		PRJNA518082	not collected		feces metagenome	2016-09-22	USA: Epsom NH	not collected	sample	oro164519
oro164520		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Epsom NH	not collected	sample	oro164520
oro164521		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Epsom NH	not collected	sample	oro164521
oro164522		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Epsom NH	not collected	sample	oro164522
oro164523		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Epsom NH	not collected	sample	oro164523
oro164524		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Epsom NH	not collected	sample	oro164524
oro164525		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Epsom NH	not collected	sample	oro164525
oro164526		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Epsom NH	not collected	sample	oro164526
oro164527		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Epsom NH	not collected	sample	oro164527
oro164528		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Epsom NH	not collected	sample	oro164528
oro164529		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Epsom NH	not collected	sample	oro164529
oro164530		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Epsom NH	not collected	sample	oro164530
oro164531		PRJNA518082	not collected		feces metagenome	2016-09-25	USA: Epsom NH	not collected	sample	oro164531
oro16contaminated3564		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Massabesic NH	not collected	contaminant	oro16contaminated3564
mockIM4p7L1		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	mock	mockIM4p7L1
