Sample Name	Sample title	BioProject Accession	Organism	host	isolation source	collection date	geographic location	latitude and longitude	Sample type	Isolate
oro162764		PRJNA518082	not collected		feces metagenome	2016-09-06	USA: Canterbury NH	not collected	sample	oro162764
oro162765		PRJNA518082	not collected		feces metagenome	2016-09-06	USA: Canterbury NH	not collected	sample	oro162765
oro162766		PRJNA518082	not collected		feces metagenome	2016-09-06	USA: Canterbury NH	not collected	sample	oro162766
oro162767		PRJNA518082	not collected		feces metagenome	2016-09-06	USA: Canterbury NH	not collected	sample	oro162767
oro162768		PRJNA518082	not collected		feces metagenome	2016-09-06	USA: Canterbury NH	not collected	sample	oro162768
oro162769		PRJNA518082	not collected		feces metagenome	2016-09-06	USA: Canterbury NH	not collected	sample	oro162769
oro162770		PRJNA518082	not collected		feces metagenome	not recorded	USA: Canterbury NH	not collected	sample	oro162770
oro162771		PRJNA518082	not collected		feces metagenome	not recorded	USA: Canterbury NH	not collected	sample	oro162771
oro162773		PRJNA518082	not collected		feces metagenome	not recorded	USA: Canterbury NH	not collected	sample	oro162773
oro162774		PRJNA518082	not collected		feces metagenome	not recorded	USA: Canterbury NH	not collected	sample	oro162774
oro162775		PRJNA518082	not collected		feces metagenome	not recorded	USA: Canterbury NH	not collected	sample	oro162775
oro162776		PRJNA518082	not collected		feces metagenome	not recorded	USA: Canterbury NH	not collected	sample	oro162776
oro162777		PRJNA518082	not collected		feces metagenome	not recorded	USA: Canterbury NH	not collected	sample	oro162777
oro162778		PRJNA518082	not collected		feces metagenome	not recorded	USA: Canterbury NH	not collected	sample	oro162778
oro162779		PRJNA518082	not collected		feces metagenome	not recorded	USA: Canterbury NH	not collected	sample	oro162779
oro162780		PRJNA518082	not collected		feces metagenome	not recorded	USA: Canterbury NH	not collected	sample	oro162780
oro162781		PRJNA518082	not collected		feces metagenome	not recorded	USA: Canterbury NH	not collected	sample	oro162781
oro162782		PRJNA518082	not collected		feces metagenome	not recorded	USA: Canterbury NH	not collected	sample	oro162782
oro162784		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Canterbury NH	not collected	sample	oro162784
oro162785		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Canterbury NH	not collected	sample	oro162785
oro162786		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Canterbury NH	not collected	sample	oro162786
oro162787		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Canterbury NH	not collected	sample	oro162787
oro162788		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Canterbury NH	not collected	sample	oro162788
oro162789		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Canterbury NH	not collected	sample	oro162789
oro162790		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Canterbury NH	not collected	sample	oro162790
oro162791		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Canterbury NH	not collected	sample	oro162791
