SeqID1,SeqID2,betadistance,Method,Filt,BetaType,RareType,LegendLabel
libA,libB,0.125,vsearch,standard,dice,rarefied,dice - standard
libA,libC,0.230769230769231,vsearch,standard,dice,rarefied,dice - standard
libA,libD,0.2,vsearch,standard,dice,rarefied,dice - standard
libB,libC,0.259259259259259,vsearch,standard,dice,rarefied,dice - standard
libB,libD,0.230769230769231,vsearch,standard,dice,rarefied,dice - standard
libC,libD,0.357142857142857,vsearch,standard,dice,rarefied,dice - standard
libA,libB,0.424657534246575,vsearch,basic,dice,rarefied,dice - basic
libA,libC,0.487179487179487,vsearch,basic,dice,rarefied,dice - basic
libA,libD,0.428571428571429,vsearch,basic,dice,rarefied,dice - basic
libB,libC,0.480519480519481,vsearch,basic,dice,rarefied,dice - basic
libB,libD,0.420289855072464,vsearch,basic,dice,rarefied,dice - basic
libC,libD,0.513513513513513,vsearch,basic,dice,rarefied,dice - basic
libA,libB,0.1094,vsearch,extra,bray,rarefied,bray - extra
libA,libC,0.2186,vsearch,extra,bray,rarefied,bray - extra
libA,libD,0.2128,vsearch,extra,bray,rarefied,bray - extra
libB,libC,0.219,vsearch,extra,bray,rarefied,bray - extra
libB,libD,0.2092,vsearch,extra,bray,rarefied,bray - extra
libC,libD,0.2748,vsearch,extra,bray,rarefied,bray - extra
libA,libB,0.126,vsearch,standard,bray,rarefied,bray - standard
libA,libC,0.2092,vsearch,standard,bray,rarefied,bray - standard
libA,libD,0.2154,vsearch,standard,bray,rarefied,bray - standard
libB,libC,0.2242,vsearch,standard,bray,rarefied,bray - standard
libB,libD,0.2184,vsearch,standard,bray,rarefied,bray - standard
libC,libD,0.2756,vsearch,standard,bray,rarefied,bray - standard
libA,libB,0.1198,vsearch,basic,bray,rarefied,bray - basic
libA,libC,0.2246,vsearch,basic,bray,rarefied,bray - basic
libA,libD,0.2182,vsearch,basic,bray,rarefied,bray - basic
libB,libC,0.2116,vsearch,basic,bray,rarefied,bray - basic
libB,libD,0.21,vsearch,basic,bray,rarefied,bray - basic
libC,libD,0.2764,vsearch,basic,bray,rarefied,bray - basic
libA,libB,0,dada2,extra,dice,rarefied,dice - extra
libA,libC,0,dada2,extra,dice,rarefied,dice - extra
libA,libD,0,dada2,extra,dice,rarefied,dice - extra
libB,libC,0,dada2,extra,dice,rarefied,dice - extra
libB,libD,0,dada2,extra,dice,rarefied,dice - extra
libC,libD,0,dada2,extra,dice,rarefied,dice - extra
libA,libB,0.0204081632653061,dada2,standard,dice,rarefied,dice - standard
libA,libC,0.04,dada2,standard,dice,rarefied,dice - standard
libA,libD,0.04,dada2,standard,dice,rarefied,dice - standard
libB,libC,0.0204081632653061,dada2,standard,dice,rarefied,dice - standard
libB,libD,0.0204081632653061,dada2,standard,dice,rarefied,dice - standard
libC,libD,0.04,dada2,standard,dice,rarefied,dice - standard
libA,libB,0.0588235294117647,dada2,basic,dice,rarefied,dice - basic
libA,libC,0.04,dada2,basic,dice,rarefied,dice - basic
libA,libD,0.04,dada2,basic,dice,rarefied,dice - basic
libB,libC,0.0588235294117647,dada2,basic,dice,rarefied,dice - basic
libB,libD,0.0588235294117647,dada2,basic,dice,rarefied,dice - basic
libC,libD,0.04,dada2,basic,dice,rarefied,dice - basic
libA,libB,0.0426,dada2,extra,bray,rarefied,bray - extra
libA,libC,0.0392,dada2,extra,bray,rarefied,bray - extra
libA,libD,0.0312,dada2,extra,bray,rarefied,bray - extra
libB,libC,0.0496,dada2,extra,bray,rarefied,bray - extra
libB,libD,0.0478,dada2,extra,bray,rarefied,bray - extra
libC,libD,0.0422,dada2,extra,bray,rarefied,bray - extra
libA,libB,0.0466,dada2,standard,bray,rarefied,bray - standard
libA,libC,0.0494,dada2,standard,bray,rarefied,bray - standard
libA,libD,0.0342,dada2,standard,bray,rarefied,bray - standard
libB,libC,0.0368,dada2,standard,bray,rarefied,bray - standard
libB,libD,0.0418,dada2,standard,bray,rarefied,bray - standard
libC,libD,0.0454,dada2,standard,bray,rarefied,bray - standard
libA,libB,0.0438,dada2,basic,bray,rarefied,bray - basic
libA,libC,0.0554,dada2,basic,bray,rarefied,bray - basic
libA,libD,0.0444,dada2,basic,bray,rarefied,bray - basic
libB,libC,0.052,dada2,basic,bray,rarefied,bray - basic
libB,libD,0.0442,dada2,basic,bray,rarefied,bray - basic
libC,libD,0.0408,dada2,basic,bray,rarefied,bray - basic
libA,libB,0.0204081632653061,deblur,extra,dice,rarefied,dice - extra
libA,libC,0.0204081632653061,deblur,extra,dice,rarefied,dice - extra
