SeqID,StudyID,SampleType,Library,WOY,DNAplate,Site,Date,MonthStart
oro160643,oro16,sample,libB,24,14,MAP,2016-06-18,June
oro160645,oro16,sample,libB,24,14,MAP,2016-06-18,June
oro160646,oro16,sample,libB,25,14,MAP,2016-06-25,June
oro160647,oro16,sample,libB,25,14,MAP,2016-06-25,June
oro160648,oro16,sample,libB,25,14,MAP,2016-06-25,June
oro160649,oro16,sample,libB,25,14,MAP,2016-06-25,June
oro160650,oro16,sample,libB,25,14,MAP,2016-06-25,June
oro160651,oro16,sample,libB,25,14,MAP,2016-06-25,June
oro160652,oro16,sample,libB,25,14,MAP,2016-06-25,June
oro160653,oro16,sample,libB,25,15,MAP,2016-06-25,June
oro160654,oro16,sample,libB,25,15,MAP,2016-06-25,June
oro160655,oro16,sample,libB,25,15,MAP,2016-06-25,June
oro160657,oro16,sample,libB,25,15,MAP,2016-06-25,June
oro160658,oro16,sample,libB,26,15,MAP,2016-07-03,June
oro160659,oro16,sample,libB,26,15,MAP,2016-07-03,June
oro160660,oro16,sample,libB,26,15,MAP,2016-07-03,June
oro160661,oro16,sample,libB,26,15,MAP,2016-07-03,June
oro160662,oro16,sample,libB,26,15,MAP,2016-07-03,June
oro160663,oro16,sample,libB,26,15,MAP,2016-07-03,June
oro160664,oro16,sample,libB,26,15,MAP,2016-07-03,June
oro160665,oro16,sample,libB,26,15,MAP,2016-07-03,June
oro160666,oro16,sample,libB,26,15,MAP,2016-07-03,June
oro160668,oro16,sample,libB,26,15,MAP,2016-07-03,June
oro160669,oro16,sample,libB,26,15,MAP,2016-07-03,June
oro160670,oro16,sample,libB,27,15,MAP,2016-07-09,July
oro160671,oro16,sample,libB,27,15,MAP,2016-07-09,July
oro160672,oro16,sample,libB,27,15,MAP,2016-07-09,July
oro160673,oro16,sample,libB,27,15,MAP,2016-07-09,July
oro160674,oro16,sample,libB,27,15,MAP,2016-07-09,July
oro160675,oro16,sample,libB,27,15,MAP,2016-07-09,July
oro160676,oro16,sample,libB,27,15,MAP,2016-07-09,July
oro160677,oro16,sample,libB,27,15,MAP,2016-07-09,July
oro160678,oro16,sample,libB,27,15,MAP,2016-07-09,July
oro160679,oro16,sample,libB,27,15,MAP,2016-07-09,July
oro160680,oro16,sample,libB,27,15,MAP,2016-07-09,July
oro160681,oro16,sample,libB,27,15,MAP,2016-07-09,July
oro160684,oro16,sample,libC,21,31,ROL,2016-05-24,May
oro160692,oro16,sample,libC,21,31,ROL,2016-05-24,May
oro160693,oro16,sample,libC,21,31,ROL,2016-05-24,May
oro160694,oro16,sample,libC,21,31,ROL,2016-05-24,May
oro160695,oro16,sample,libC,21,31,ROL,2016-05-24,May
oro160696,oro16,sample,libC,26,31,ROL,2016-07-01,June
oro160697,oro16,sample,libC,26,31,ROL,2016-07-01,June
