SeqID StudyID SampleType Library
oro161939 oro16 sample libB
oro161940 oro16 sample libB
oro161941 oro16 sample libB
oro161942 oro16 sample libB
oro161943 oro16 sample libB
oro161948 oro16 sample libB
oro161949 oro16 sample libB
oro161950 oro16 sample libB
oro161951 oro16 sample libB
oro161952 oro16 sample libB
oro161953 oro16 sample libB
oro161954 oro16 sample libB
oro161955 oro16 sample libB
oro161956 oro16 sample libB
oro161957 oro16 sample libB
oro161958 oro16 sample libB
oro161959 oro16 sample libB
oro161960 oro16 sample libB
oro161961 oro16 sample libB
oro161962 oro16 sample libB
oro161963 oro16 sample libB
oro161964 oro16 sample libB
oro161965 oro16 sample libB
oro161966 oro16 sample libB
oro161967 oro16 sample libB
oro161968 oro16 sample libB
oro161969 oro16 sample libB
oro161970 oro16 sample libB
oro161971 oro16 sample libB
oro161972 oro16 sample libB
oro161973 oro16 sample libB
oro161974 oro16 sample libB
oro161975 oro16 sample libB
oro161976 oro16 sample libB
oro161977 oro16 sample libB
oro161978 oro16 sample libB
oro161979 oro16 sample libB
oro161980 oro16 sample libB
oro161981 oro16 sample libB
oro161982 oro16 sample libB
oro161983 oro16 sample libB
oro161987 oro16 sample libB
oro161990 oro16 sample libB
oro161996 oro16 sample libB
oro161997 oro16 sample libB
oro162013 oro16 sample libB
oro162057 oro16 sample libA
oro162062 oro16 sample libA
oro162067 oro16 sample libA
oro162068 oro16 sample libA
oro162071 oro16 sample libA
oro162134 oro16 sample libB
oro162135 oro16 sample libB
oro162136 oro16 sample libB
oro162137 oro16 sample libB
oro162138 oro16 sample libB
oro162139 oro16 sample libB
oro162140 oro16 sample libB
oro162141 oro16 sample libB
oro162142 oro16 sample libB
oro162143 oro16 sample libB
oro162144 oro16 sample libB
oro162145 oro16 sample libB
oro162146 oro16 sample libB
oro162147 oro16 sample libB
oro162149 oro16 sample libB
oro162150 oro16 sample libB
oro162151 oro16 sample libB
oro162152 oro16 sample libB
oro162153 oro16 sample libB
oro162155 oro16 sample libB
oro162156 oro16 sample libB
oro162157 oro16 sample libB
oro162158 oro16 sample libB
oro162159 oro16 sample libB
oro162160 oro16 sample libB
oro162161 oro16 sample libB
oro162162 oro16 sample libB
oro162163 oro16 sample libB
oro162164 oro16 sample libB
oro162165 oro16 sample libB
oro162166 oro16 sample libB
oro162167 oro16 sample libB
oro162168 oro16 sample libB
oro162169 oro16 sample libB
oro162170 oro16 sample libB
oro162171 oro16 sample libB
oro162172 oro16 sample libB
oro162173 oro16 sample libB
oro162174 oro16 sample libB
oro162175 oro16 sample libB
oro162176 oro16 sample libB
oro162177 oro16 sample libB
oro162178 oro16 sample libB
oro162179 oro16 sample libB
oro162180 oro16 sample libB
oro162181 oro16 sample libB
oro162184 oro16 sample libA
oro162185 oro16 sample libA
oro162186 oro16 sample libA
oro162187 oro16 sample libA
oro162188 oro16 sample libA
oro162189 oro16 sample libA
oro162190 oro16 sample libA
oro162191 oro16 sample libA
oro162193 oro16 sample libA
oro162194 oro16 sample libA
oro162195 oro16 sample libA
oro162196 oro16 sample libA
oro162197 oro16 sample libA
oro162198 oro16 sample libA
oro162199 oro16 sample libA
oro162200 oro16 sample libA
oro162201 oro16 sample libA
oro162202 oro16 sample libA
oro162203 oro16 sample libA
oro162204 oro16 sample libA
oro162205 oro16 sample libA
oro162206 oro16 sample libA
oro162207 oro16 sample libA
oro162208 oro16 sample libA
oro162209 oro16 sample libA
oro162210 oro16 sample libA
oro162211 oro16 sample libA
oro162212 oro16 sample libA
oro162213 oro16 sample libA
oro162214 oro16 sample libA
oro162215 oro16 sample libA
oro162216 oro16 sample libA
oro162217 oro16 sample libA
oro162218 oro16 sample libA
oro162219 oro16 sample libA
oro162220 oro16 sample libA
oro162221 oro16 sample libA
oro162222 oro16 sample libA
oro162224 oro16 sample libA
oro162225 oro16 sample libA
oro162226 oro16 sample libA
oro162227 oro16 sample libA
oro162228 oro16 sample libA
oro162229 oro16 sample libA
oro162230 oro16 sample libA
oro162231 oro16 sample libA
oro162232 oro16 sample libA
oro162233 oro16 sample libA
oro162234 oro16 sample libA
